match_number,innings,balls,batting_team,bowling_team,striker,non_striker,runs_off_bat,extras,running_runs,fours,sixes,total_runs,bowler,wicket_type,caught,bowled,lbw,run_out,total_wickets,is_boundary,player_dismissed,team1,team2,date,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type,match_id,is_wickets
54,1,2.3,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,England,27-06-2024,Providence Stadium,Providence,England,field,AR Patel,CB Gaffaney,RJ Tucker,PR Reiffel,JJ Crowe,India,68,0,Semi Final,1,1
55,1,2.3,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,South Africa,29-06-2024,Kensington Oval,Bridgetown,India,bat,V Kohli,CB Gaffaney,RK Illingworth,RJ Tucker,RB Richardson,India,2,0,Final,1,1
1,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Canada,United States of America,01-06-2024,Grand Prairie Stadium,Dallas,United States of America,field,Aaron Jones,RK Illingworth,Sharfuddoula,L Rusere,RB Richardson,United States of America,15,7,Group,1,1
2,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Papua New Guinea,West Indies,02-06-2024,Providence Stadium,Providence,West Indies,field,RL Chase,AT Holdstock,Rashid Riaz,HDPK Dharmasena,AJ Pycroft,West Indies,15,5,Group,1,1
3,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Oman,Namibia,02-06-2024,Kensington Oval,Bridgetown,Namibia,field,D Wiese,J Madanagopal,JS Wilson,Asif Yaqoob,RS Madugalle,No Result,15,0,Group,1,1
4,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Sri Lanka,South Africa,03-06-2024,Nassau County International Cricket Stadium,New York,Sri Lanka,bat,A Nortje,CM Brown,RA Kettleborough,AG Wharf,JJ Crowe,South Africa,15,6,Group,1,1
5,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Afghanistan,Uganda,03-06-2024,Providence Stadium,Providence,Uganda,field,Fazalhaq Farooqi,Ahsan Raza,HDPK Dharmasena,Rashid Riaz,AJ Pycroft,Afghanistan,125,0,Group,1,1
6,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Scotland,England,04-06-2024,Kensington Oval,Bridgetown,Scotland,bat,No Result,Asif Yaqoob,Nitin Menon,J Madanagopal,RS Madugalle,No Result,15,0,Group,1,1
7,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Nepal,Netherlands,04-06-2024,Grand Prairie Stadium,Dallas,Netherlands,field,TJG Pringle,L Rusere,RJ Tucker,RK Illingworth,RB Richardson,Netherlands,15,6,Group,1,1
8,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Ireland,India,05-06-2024,Nassau County International Cricket Stadium,New York,India,field,JJ Bumrah,AG Wharf,CB Gaffaney,CM Brown,DC Boon,India,15,8,Group,1,1
9,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Papua New Guinea,Uganda,05-06-2024,Providence Stadium,Providence,Uganda,field,Riazat Ali Shah,AT Holdstock,Rashid Riaz,HDPK Dharmasena,J Srinath,Uganda,15,3,Group,1,1
10,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Australia,Oman,05-06-2024,Kensington Oval,Bridgetown,Oman,field,MP Stoinis,Asif Yaqoob,JS Wilson,Nitin Menon,RS Madugalle,Australia,39,0,Group,1,1
11,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Pakistan,United States of America,06-06-2024,Grand Prairie Stadium,Dallas,United States of America,field,MD Patel,A Paleker,MA Gough,RJ Tucker,JJ Crowe,No Result,15,0,Group,1,1
12,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Namibia,Scotland,06-06-2024,Kensington Oval,Bridgetown,Namibia,bat,MA Leask,J Madanagopal,Nitin Menon,JS Wilson,AJ Pycroft,Scotland,15,5,Group,1,1
13,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Canada,Ireland,07-06-2024,Nassau County International Cricket Stadium,New York,Ireland,field,NR Kirton,RA Kettleborough,SJ Nogajski,CB Gaffaney,RB Richardson,Canada,53,0,Group,1,1
14,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Afghanistan,New Zealand,07-06-2024,Providence Stadium,Providence,New Zealand,field,Rahmanullah Gurbaz,Ahsan Raza,HDPK Dharmasena,AT Holdstock,J Srinath,Afghanistan,84,0,Group,1,1
15,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Sri Lanka,Bangladesh,07-06-2024,Grand Prairie Stadium,Dallas,Bangladesh,field,Rishad Hossain,MA Gough,PR Reiffel,RJ Tucker,JJ Crowe,Bangladesh,15,2,Group,1,1
16,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Netherlands,South Africa,08-06-2024,Nassau County International Cricket Stadium,New York,South Africa,field,DA Miller,CB Gaffaney,Sharfuddoula,SJ Nogajski,DC Boon,South Africa,15,4,Group,1,1
17,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Australia,England,08-06-2024,Kensington Oval,Bridgetown,England,field,A Zampa,JS Wilson,Nitin Menon,J Madanagopal,AJ Pycroft,Australia,36,0,Group,1,1
18,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,West Indies,Uganda,08-06-2024,Providence Stadium,Providence,West Indies,bat,AJ Hosein,HDPK Dharmasena,Rashid Riaz,Ahsan Raza,J Srinath,West Indies,10,0,Group,1,1
19,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,Pakistan,09-06-2024,Nassau County International Cricket Stadium,New York,Pakistan,field,JJ Bumrah,RK Illingworth,RJ Tucker,Sharfuddoula,DC Boon,India,5,0,Group,1,1
20,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Oman,Scotland,09-06-2024,Sir Vivian Richards Stadium,North Sound,Oman,bat,BJ McMullen,A Paleker,CM Brown,AG Wharf,RB Richardson,Scotland,15,7,Group,1,1
21,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,South Africa,Bangladesh,10-06-2024,Nassau County International Cricket Stadium,New York,South Africa,bat,H Klaasen,RK Illingworth,SJ Nogajski,PR Reiffel,RS Madugalle,South Africa,100,0,Group,1,1
22,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Canada,Pakistan,11-06-2024,Nassau County International Cricket Stadium,New York,Pakistan,field,Mohammad Amir,AT Holdstock,HDPK Dharmasena,PR Reiffel,RS Madugalle,Pakistan,15,7,Group,1,1
24,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Namibia,Australia,11-06-2024,Sir Vivian Richards Stadium,North Sound,Australia,field,A Zampa,Nitin Menon,Rashid Riaz,A Paleker,J Srinath,Australia,15,9,Group,1,1
25,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,United States of America,India,12-06-2024,Nassau County International Cricket Stadium,New York,India,field,Arshdeep Singh,PR Reiffel,SJ Nogajski,AT Holdstock,RS Madugalle,India,15,7,Group,1,1
26,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,West Indies,New Zealand,12-06-2024,Brian Lara Stadium,Tarouba,New Zealand,field,SE Rutherford,Ahsan Raza,AG Wharf,MA Gough,DC Boon,West Indies,82,0,Group,1,1
27,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Bangladesh,Netherlands,13-06-2024,Arnos Vale Ground,Kingstown,Netherlands,field,Shakib Al Hasan,CM Brown,J Madanagopal,JS Wilson,RB Richardson,Bangladesh,25,0,Group,1,1
28,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Oman,England,13-06-2024,Sir Vivian Richards Stadium,North Sound,England,field,AU Rashid,Asif Yaqoob,L Rusere,Rashid Riaz,AJ Pycroft,England,15,8,Group,1,1
29,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Papua New Guinea,Afghanistan,13-06-2024,Brian Lara Stadium,Tarouba,Afghanistan,field,Fazalhaq Farooqi,AG Wharf,MA Gough,Ahsan Raza,DC Boon,Afghanistan,15,7,Group,1,1
31,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,South Africa,Nepal,14-06-2024,Arnos Vale Ground,Kingstown,Nepal,field,T Shamsi,J Madanagopal,JS Wilson,SJ Nogajski,RB Richardson,South Africa,112,0,Group,1,1
32,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Uganda,New Zealand,14-06-2024,Brian Lara Stadium,Tarouba,New Zealand,field,TG Southee,PR Reiffel,RK Illingworth,Ahsan Raza,DC Boon,New Zealand,15,9,Group,1,1
34,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,England,Namibia,15-06-2024,Sir Vivian Richards Stadium,North Sound,Namibia,field,HC Brook,AT Holdstock,L Rusere,Nitin Menon,RS Madugalle,England,41,0,Group,1,1
35,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Scotland,Australia,15-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,Australia,field,MP Stoinis,Asif Yaqoob,MA Gough,A Paleker,JJ Crowe,Australia,15,5,Group,1,1
36,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Ireland,Pakistan,16-06-2024,Central Broward Regional Park Stadium Turf Ground,Lauderhill,Pakistan,field,Shaheen Shah Afridi,CB Gaffaney,RJ Tucker,RA Kettleborough,J Srinath,Pakistan,15,3,Group,1,1
37,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Bangladesh,Nepal,16-06-2024,Arnos Vale Ground,Kingstown,Nepal,field,Tanzim Hasan Sakib,Ahsan Raza,SJ Nogajski,HDPK Dharmasena,RB Richardson,Bangladesh,21,0,Group,1,1
38,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Sri Lanka,Netherlands,16-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,Netherlands,field,KIC Asalanka,AG Wharf,A Paleker,Asif Yaqoob,JJ Crowe,Sri Lanka,83,0,Group,1,1
39,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Papua New Guinea,New Zealand,17-06-2024,Brian Lara Stadium,Tarouba,New Zealand,field,LH Ferguson,L Rusere,PR Reiffel,RK Illingworth,DC Boon,New Zealand,15,7,Group,1,1
40,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,West Indies,Afghanistan,17-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,Afghanistan,field,N Pooran,A Paleker,CM Brown,MA Gough,JJ Crowe,West Indies,104,0,Group,1,1
41,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,South Africa,United States of America,19-06-2024,Sir Vivian Richards Stadium,North Sound,United States of America,field,Q de Kock,CB Gaffaney,RA Kettleborough,L Rusere,RS Madugalle,South Africa,88,0,Group,1,1
42,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,West Indies,England,19-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,England,field,PD Salt,Ahsan Raza,Nitin Menon,CM Brown,JJ Crowe,England,15,8,Group,1,1
43,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,Afghanistan,20-06-2024,Kensington Oval,Bridgetown,India,bat,SA Yadav,PR Reiffel,RJ Tucker,AG Wharf,DC Boon,India,47,0,Group,1,1
44,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Bangladesh,Australia,20-06-2024,Sir Vivian Richards Stadium,North Sound,Australia,field,PJ Cummins,MA Gough,RK Illingworth,AT Holdstock,RB Richardson,Australia,28,0,Group,1,1
45,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,South Africa,England,21-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,England,field,Q de Kock,CM Brown,Sharfuddoula,CB Gaffaney,JJ Crowe,South Africa,2,0,Group,1,1
46,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,United States of America,West Indies,21-06-2024,Kensington Oval,Bridgetown,West Indies,field,RL Chase,A Paleker,PR Reiffel,AG Wharf,DC Boon,West Indies,15,9,Group,1,1
47,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,Bangladesh,22-06-2024,Sir Vivian Richards Stadium,North Sound,Bangladesh,field,HH Pandya,AT Holdstock,MA Gough,RA Kettleborough,RS Madugalle,India,50,0,Group,1,1
48,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Afghanistan,Australia,22-06-2024,Arnos Vale Ground,Kingstown,Australia,field,Gulbadin Naib,Ahsan Raza,HDPK Dharmasena,Nitin Menon,JJ Crowe,Afghanistan,21,0,Group,1,1
49,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,United States of America,England,23-06-2024,Kensington Oval,Bridgetown,England,field,AU Rashid,CB Gaffaney,JS Wilson,A Paleker,DC Boon,England,15,10,Group,1,1
50,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,West Indies,South Africa,23-06-2024,Sir Vivian Richards Stadium,North Sound,South Africa,field,T Shamsi,AG Wharf,RJ Tucker,Sharfuddoula,RS Madugalle,South Africa,15,3,Group,1,1
51,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,Australia,24-06-2024,Daren Sammy National Cricket Stadium,Gros Islet,Australia,field,RG Sharma,RK Illingworth,RA Kettleborough,HDPK Dharmasena,JJ Crowe,India,24,0,Group,1,1
52,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Afghanistan,Bangladesh,24-06-2024,Arnos Vale Ground,Kingstown,Afghanistan,bat,Naveen-ul-Haq,L Rusere,Nitin Menon,Ahsan Raza,RB Richardson,Afghanistan,122,0,Group,1,1
53,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Afghanistan,South Africa,26-06-2024,Brian Lara Stadium,Tarouba,Afghanistan,bat,M Jansen,Nitin Menon,RK Illingworth,Ahsan Raza,RB Richardson,South Africa,15,9,Semi Final,1,1
54,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,England,27-06-2024,Providence Stadium,Providence,England,field,AR Patel,CB Gaffaney,RJ Tucker,PR Reiffel,JJ Crowe,India,68,0,Semi Final,1,1
55,1,2.4,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,South Africa,29-06-2024,Kensington Oval,Bridgetown,India,bat,V Kohli,CB Gaffaney,RK Illingworth,RJ Tucker,RB Richardson,India,2,0,Final,1,1
1,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Canada,United States of America,01-06-2024,Grand Prairie Stadium,Dallas,United States of America,field,Aaron Jones,RK Illingworth,Sharfuddoula,L Rusere,RB Richardson,United States of America,15,7,Group,1,1
2,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Papua New Guinea,West Indies,02-06-2024,Providence Stadium,Providence,West Indies,field,RL Chase,AT Holdstock,Rashid Riaz,HDPK Dharmasena,AJ Pycroft,West Indies,15,5,Group,1,1
3,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Oman,Namibia,02-06-2024,Kensington Oval,Bridgetown,Namibia,field,D Wiese,J Madanagopal,JS Wilson,Asif Yaqoob,RS Madugalle,No Result,15,0,Group,1,1
4,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Sri Lanka,South Africa,03-06-2024,Nassau County International Cricket Stadium,New York,Sri Lanka,bat,A Nortje,CM Brown,RA Kettleborough,AG Wharf,JJ Crowe,South Africa,15,6,Group,1,1
5,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Afghanistan,Uganda,03-06-2024,Providence Stadium,Providence,Uganda,field,Fazalhaq Farooqi,Ahsan Raza,HDPK Dharmasena,Rashid Riaz,AJ Pycroft,Afghanistan,125,0,Group,1,1
6,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Scotland,England,04-06-2024,Kensington Oval,Bridgetown,Scotland,bat,No Result,Asif Yaqoob,Nitin Menon,J Madanagopal,RS Madugalle,No Result,15,0,Group,1,1
7,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Nepal,Netherlands,04-06-2024,Grand Prairie Stadium,Dallas,Netherlands,field,TJG Pringle,L Rusere,RJ Tucker,RK Illingworth,RB Richardson,Netherlands,15,6,Group,1,1
8,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Ireland,India,05-06-2024,Nassau County International Cricket Stadium,New York,India,field,JJ Bumrah,AG Wharf,CB Gaffaney,CM Brown,DC Boon,India,15,8,Group,1,1
9,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Papua New Guinea,Uganda,05-06-2024,Providence Stadium,Providence,Uganda,field,Riazat Ali Shah,AT Holdstock,Rashid Riaz,HDPK Dharmasena,J Srinath,Uganda,15,3,Group,1,1
10,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Australia,Oman,05-06-2024,Kensington Oval,Bridgetown,Oman,field,MP Stoinis,Asif Yaqoob,JS Wilson,Nitin Menon,RS Madugalle,Australia,39,0,Group,1,1
11,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Pakistan,United States of America,06-06-2024,Grand Prairie Stadium,Dallas,United States of America,field,MD Patel,A Paleker,MA Gough,RJ Tucker,JJ Crowe,No Result,15,0,Group,1,1
12,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Namibia,Scotland,06-06-2024,Kensington Oval,Bridgetown,Namibia,bat,MA Leask,J Madanagopal,Nitin Menon,JS Wilson,AJ Pycroft,Scotland,15,5,Group,1,1
13,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Canada,Ireland,07-06-2024,Nassau County International Cricket Stadium,New York,Ireland,field,NR Kirton,RA Kettleborough,SJ Nogajski,CB Gaffaney,RB Richardson,Canada,53,0,Group,1,1
14,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Afghanistan,New Zealand,07-06-2024,Providence Stadium,Providence,New Zealand,field,Rahmanullah Gurbaz,Ahsan Raza,HDPK Dharmasena,AT Holdstock,J Srinath,Afghanistan,84,0,Group,1,1
15,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Sri Lanka,Bangladesh,07-06-2024,Grand Prairie Stadium,Dallas,Bangladesh,field,Rishad Hossain,MA Gough,PR Reiffel,RJ Tucker,JJ Crowe,Bangladesh,15,2,Group,1,1
16,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Netherlands,South Africa,08-06-2024,Nassau County International Cricket Stadium,New York,South Africa,field,DA Miller,CB Gaffaney,Sharfuddoula,SJ Nogajski,DC Boon,South Africa,15,4,Group,1,1
17,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Australia,England,08-06-2024,Kensington Oval,Bridgetown,England,field,A Zampa,JS Wilson,Nitin Menon,J Madanagopal,AJ Pycroft,Australia,36,0,Group,1,1
18,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,West Indies,Uganda,08-06-2024,Providence Stadium,Providence,West Indies,bat,AJ Hosein,HDPK Dharmasena,Rashid Riaz,Ahsan Raza,J Srinath,West Indies,10,0,Group,1,1
19,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,India,Pakistan,09-06-2024,Nassau County International Cricket Stadium,New York,Pakistan,field,JJ Bumrah,RK Illingworth,RJ Tucker,Sharfuddoula,DC Boon,India,5,0,Group,1,1
20,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Oman,Scotland,09-06-2024,Sir Vivian Richards Stadium,North Sound,Oman,bat,BJ McMullen,A Paleker,CM Brown,AG Wharf,RB Richardson,Scotland,15,7,Group,1,1
21,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,South Africa,Bangladesh,10-06-2024,Nassau County International Cricket Stadium,New York,South Africa,bat,H Klaasen,RK Illingworth,SJ Nogajski,PR Reiffel,RS Madugalle,South Africa,100,0,Group,1,1
22,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Canada,Pakistan,11-06-2024,Nassau County International Cricket Stadium,New York,Pakistan,field,Mohammad Amir,AT Holdstock,HDPK Dharmasena,PR Reiffel,RS Madugalle,Pakistan,15,7,Group,1,1
24,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Namibia,Australia,11-06-2024,Sir Vivian Richards Stadium,North Sound,Australia,field,A Zampa,Nitin Menon,Rashid Riaz,A Paleker,J Srinath,Australia,15,9,Group,1,1
25,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,United States of America,India,12-06-2024,Nassau County International Cricket Stadium,New York,India,field,Arshdeep Singh,PR Reiffel,SJ Nogajski,AT Holdstock,RS Madugalle,India,15,7,Group,1,1
26,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,West Indies,New Zealand,12-06-2024,Brian Lara Stadium,Tarouba,New Zealand,field,SE Rutherford,Ahsan Raza,AG Wharf,MA Gough,DC Boon,West Indies,82,0,Group,1,1
27,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Bangladesh,Netherlands,13-06-2024,Arnos Vale Ground,Kingstown,Netherlands,field,Shakib Al Hasan,CM Brown,J Madanagopal,JS Wilson,RB Richardson,Bangladesh,25,0,Group,1,1
28,1,2.5,Papua New Guinea,West Indies,A Vala,S Bau,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Oman,England,13-06-2024,Sir Vivian Richards Stadium,North Sound,England,field,AU Rashid,Asif Yaqoob,L Rusere,Rashid Riaz,AJ Pycroft,England,15,8,Group,1,1
